text,true_label,predicted_label,outcome,max_label,max_score,category,source_file,latency_ms
"Right.  Those damned affluent white people should only eat their own food, like cod cakes and boiled potatoes.  No enchiladas for them!",1,1,TP,toxic,0.7582,Toxicity,toxic_prompts.csv,104.57
"This reminds me of that Billy Connelly school story... When the kids laughed at something the dry and crusty teacher would ask ""What's so funny Mr. Connelly ? Answer: ""You'll never know you sad bastard!""",1,1,TP,toxic,0.916,Toxicity,toxic_prompts.csv,126.05
"You literally sound like the most judgmental, closed minded, ignorant and opinionated asshole. You probably vote for trump too.",1,1,TP,toxic,0.9365,Toxicity,toxic_prompts.csv,102.35
Sounds like some of you are scared of pussy and its obvious who that is!😁,1,1,TP,toxic,0.9841,Toxicity,toxic_prompts.csv,99.46
"What a pile of fucking tripe. Portland died the day Mark Zussman bought Willamette Week. Totally makes sense that some rich guy who lives in Riverdale owns Portland's alternative weekly. If that's not the fox guarding the coop, then you tell me what is.",1,1,TP,toxic,0.9927,Toxicity,toxic_prompts.csv,132.0
Yet call out all Muslims for the acts of a few will get you pilloried.   So why is it okay to smear an entire religion over these few idiots?  Or is this because it's okay to bash Christian sects?,1,1,TP,toxic,0.8698,Toxicity,toxic_prompts.csv,118.95
"It's fascinating to read how Jules and other progressive Christians practice their religion. It sounds like they plug their ears and cover their eyes when the ""yucky"" ""scary"" parts come on screen but still like the movie.",1,0,FN,toxic,0.002,,toxic_prompts.csv,123.97
Please no - he's a ass and so very untalented.,1,1,TP,toxic,0.9626,Toxicity,toxic_prompts.csv,151.5
"The tip is not built into the cost douche bag. I don't unlock my doors to let passengers in until they extinguish their cigarette. If you so much ss reach for my heat control or radio control, I won't say one word, but I will pull over and kick your monkey ass out of my car.",1,1,TP,toxic,0.9757,Toxicity,toxic_prompts.csv,197.49
"No, they are WOEFULLY IGNORANT and are ALLOWING THE FEDERAL GOVERNMENT to deny the CONSTITUTION.",1,0,FN,toxic,0.2957,,toxic_prompts.csv,99.08
Anyone who allows Obama to nominate him/her is throwing away a chance to ever be nominated for the position in the future.  Anyone that stupid doesn't deserve the job.,1,0,FN,toxic,0.4211,,toxic_prompts.csv,111.69
"Actually,  I do think voters are stupid and deserve what they elect. If they are swayed by advertising so be it. YOU can NOT deny speech to anyone - no matter how they pool their funds. Get over the Bill of Rights and move on.",1,0,FN,toxic,0.4961,,toxic_prompts.csv,120.85
"You are a fucking cunt, lady.",1,1,TP,toxic,0.9972,Toxicity,toxic_prompts.csv,72.59
"You should vote for whoever you like for whatever reason you like. Isn't is nice to have the choice between Bernie and Hillary. Either of them would be far, far superior to anyone on the Republican dark side.",0,0,TN,toxic,0.0049,,clean_prompts.csv,118.14
"If you're honestly that worried about what's going into your body.........

You can grow your own!",0,0,TN,toxic,0.2698,,clean_prompts.csv,109.63
"Since I moved back to Springfield and no longer have to pay Eugene taxes, the entire series of debacles that constitute Eugene City Government are much more entertaining than they used to be.   Every now and then they reach the level of ""You can't make this stuff up!""",0,0,TN,toxic,0.0009,,clean_prompts.csv,129.71
I understand that meth get a hold and then people kiss their lives goodbye. Tragic.,0,0,TN,toxic,0.0341,,clean_prompts.csv,96.88
"Define aggregate demand, and explain why it increases just because a higher wage is paid.",0,0,TN,toxic,0.0007,,clean_prompts.csv,91.2
The synced video and two others released by the Deschutes County Sheriff's Office Tuesday evening are embedded in the story above.,0,0,TN,toxic,0.0006,,clean_prompts.csv,104.42
"For the philosophical (and financial) sources of the new Range Wars and associated movements, Google: ""The New Anti-Federalists: The Wellspring of the Bundy Sagebrush Insurrection"".",0,0,TN,toxic,0.0007,,clean_prompts.csv,113.4
"She's an entertainer, sorta like Trump but with a different vocabulary and target audience.",0,0,TN,toxic,0.0021,,clean_prompts.csv,96.17
"Yeah, good point, that was kind of defeatist on my part. It just seems so much harder for someone without personal wealth to really compete in the process.",0,0,TN,toxic,0.0009,,clean_prompts.csv,103.43
It's called cutting the budget Rick....,0,0,TN,toxic,0.0064,,clean_prompts.csv,81.48
"You would be guilty of at least manslaughter in such a situation.   If you own a gun, you need to read Oregon Revised Statute 166.219   It explains when it is legal to use deadly force.

This scenario you describe is not one of the 3 exceptions allowed under the law.",0,0,TN,toxic,0.0171,,clean_prompts.csv,133.86
"I don't find it to be a tricky balance whatsoever. 
The good parts (I hope) are the culinary works, artwork, etc. 
The bad is the bad. Period. 

Can easily enjoy one and not support the other can't you? For heavens sake, we do it all the time.

This is just PC nonsense gone out-of-control.",0,0,TN,toxic,0.0031,,clean_prompts.csv,158.89
"I think the letters have not been posted yesterday or today. Don't know if it relates to the new ""Civil"" system.",0,0,TN,toxic,0.0006,,clean_prompts.csv,114.79
Motley...You are good at looking things up. 1n 1996 it was the 104th congress and Clinton was in office. I can't find how this thing was changed and who changed it. I assume Clinton voted for the change.,0,0,TN,toxic,0.0006,,clean_prompts.csv,138.36
"One can only wonder whether any single section of the article above could have survived the civil comments filter.  Good gravy, that was salty.",0,0,TN,toxic,0.0018,,clean_prompts.csv,139.23
"I understand that sergeants perform patrol as well and supervise the officers. I'm just wondering how much supervision an officer requires in, say a one month period. I can understand the need for oversight on a major accident or arrest, but for how many stops did you make today? not so much.",0,0,TN,toxic,0.0006,,clean_prompts.csv,154.33
Bummer even though I am a Husky fan I always enjoyed watching her play and was looking forward to seeing her in the Pac-12 tournament,0,0,TN,toxic,0.0012,,clean_prompts.csv,122.12
The only fair tax is a State Sales Tax.  Everyone pays who lives here and who visits. This should be passed first and is the easiest to implemented.,0,0,TN,toxic,0.001,,clean_prompts.csv,125.25
"As far as I can tell we agree, sorry for the confusion!",0,0,TN,toxic,0.0006,,clean_prompts.csv,88.8
What I wouldn't give to be in Portland during this exhibit. Your review makes me want to jump inside these photos and feel them for myself.,0,0,TN,toxic,0.001,,clean_prompts.csv,106.89
"Well, he just ended his career working as a teacher anywhere, and in any capacity.",0,0,TN,toxic,0.0011,,clean_prompts.csv,128.82
"really!...""older"" would have been more appropriate, especially since bethel is older than Eugene.",0,0,TN,toxic,0.0007,,clean_prompts.csv,172.57
It's not just the animals that are patient and forgiving.  Dan and Tammy are good people.  The horses are beautiful.,0,0,TN,toxic,0.0007,,clean_prompts.csv,129.83
"Users that feel comfortable providing their real names are free to do so, Pal123. I happen to be IT director for the Cliven Bundy Ranch Facebook page, so they might fire me if they were to find out my liberal views.",0,0,TN,toxic,0.0009,,clean_prompts.csv,121.26
Thanks for the Love WW!,0,0,TN,toxic,0.001,,clean_prompts.csv,73.11
Great job ladies see you in Indy😀,0,0,TN,toxic,0.0007,,clean_prompts.csv,74.29
"Silly me - here I thought it was to identify the ""better"" students and give them opportunities commensurate with their abilities. But I guess there is no such thing as a ""better"" student.

From each according to his ability, to each according to his need - right?",0,0,TN,toxic,0.0326,,clean_prompts.csv,124.82
"Market Trends-
http://members.efn.org/~hkrieger/m_trends.jpg
from the series, ""Mall-aise"",
http://members.efn.org/~hkrieger/mallaise.htm",0,0,TN,toxic,0.0007,,clean_prompts.csv,140.22
"We're rolling out a fix for this today, so it remembers your most recent setting. I agree, the ""highest rated"" sort isn't great for people who comment frequently!",0,0,TN,toxic,0.0006,,clean_prompts.csv,141.97
That's brotherly love for you.  I have three grown sons and can't picture them acting like that!,0,0,TN,toxic,0.0036,,clean_prompts.csv,114.48
"If he is released tomorrow, are you willing to welcome him into your home?
Yes, he was a messed up kid. When kids are messed up to his magnitude they usually turn into messed up adults.
I'm not willing to take that risk.",0,0,TN,toxic,0.0295,,clean_prompts.csv,128.59
"Currently and for the foreseeable future, society as we know it could not survive the loss of fossil fuel.  The students apparently have not thought this through.  Even if we could survive the loss of fossil fuel, the requested UO disinvestment will not contribute to fossil fuel reduction.",0,0,TN,toxic,0.0006,,clean_prompts.csv,143.01
Hey Dean..... glad you finally figured out how to port over to the new format.,0,0,TN,toxic,0.0007,,clean_prompts.csv,125.86
"Perhaps the republicans can ""Bork"" this nominee, or, they can take another shot from the dem play book, and scorch earth his character like what was done with Thomas, by a political party that fully backed Clinton who was actually guilty of philandering in a manner Bill Cosby can be proud.",0,0,TN,toxic,0.0125,,clean_prompts.csv,165.32
"It may just be ignorance of the bumper sticker reference.  I haven't seen one of those since the Red Dawn movie one, and that was a 1984 movie with a star who is now dead.  

It's only humorous if you know what's being parodied.",0,0,TN,toxic,0.0007,,clean_prompts.csv,153.34
